,Name,Age,Height,Weight,NOC,Medal
232,Abubakar Abbas Abbas,20.0,175.0,66.0,BRN,0
240,Maher Abbas,22.0,178.0,78.0,LIB,0
367,Moustafa Abdel Naser,21.0,176.0,74.0,LBA,0
480,Hassane Abdou,23.0,185.0,67.0,COM,0
1069,Nagmeldin Ali Abubakr,18.0,172.0,63.0,SUD,0
1070,Nagmeldin Ali Abubakr,22.0,172.0,63.0,SUD,0
1167,Fernando Acevedo Portugues,26.0,175.0,65.0,PER,0
1358,Joseph Adam,27.0,172.0,70.0,SEY,0
1418,Zoltn Adamik,23.0,175.0,71.0,HUN,0
1587,James Aryee Addy,24.0,183.0,75.0,GHA,0
1787,Gadi Ado,20.0,173.0,61.0,UGA,0
2304,Gustavo Hernando Aguirre,23.0,185.0,75.0,ARG,0
2473,Abdullah Ali Ahmed,26.0,181.0,73.0,LBA,0
2822,William Michael Jeffrey Akabi-Davis,17.0,187.0,58.0,SLE,0
2825,Kriss Kezie Uche Chukwu Duru Akabusi,25.0,185.0,81.0,GBR,0
3062,Kossi Casimir Akoto,23.0,167.0,73.0,TOG,0
3064,Kossi Casimir Akoto,27.0,167.0,73.0,TOG,0
3163,Saeed Ali Al-Adhreai,21.0,171.0,64.0,YEM,0
3210,Ahmed Mahmoud Al-Assiri,24.0,180.0,72.0,KSA,0
3264,Hamdan Awdah Al-Bishi,19.0,180.0,70.0,KSA,0
3266,Hamdan Awdah Al-Bishi,23.0,180.0,70.0,KSA,0
3271,Mohamed Hamed Al-Bishi,20.0,170.0,65.0,KSA,0
3324,Mohamed Jaman Al-Dosari,26.0,167.0,60.0,KSA,0
3375,Bahaa Al-Farra,21.0,175.0,65.0,PLE,0
3399,Sulaiman Juma Obaid Al-Habsi,18.0,165.0,60.0,OMA,0
3514,Basheer Mohamed Al-Khewani,18.0,175.0,68.0,YEM,0
3554,Mohamed Amer Al-Rashed Al-Malky,21.0,176.0,62.0,OMA,0
3556,Mohamed Amer Al-Rashed Al-Malky,25.0,176.0,62.0,OMA,0
3558,Mohamed Amer Al-Rashed Al-Malky,29.0,176.0,62.0,OMA,0
3654,Haji Bakr Al-Qahtani,23.0,173.0,63.0,KSA,0
3739,Fawzi Dahesh Al-Shammari,21.0,185.0,65.0,KUW,0
3741,Fawzi Dahesh Al-Shammari,25.0,185.0,65.0,KUW,0
4290,"Josip ""Jozo"" Alebi",25.0,177.0,72.0,YUG,0
4292,"Josip ""Jozo"" Alebi",29.0,177.0,72.0,YUG,0
4293,"Josip ""Jozo"" Alebi",33.0,177.0,72.0,YUG,0
4392,Denis Sergeyevich Alekseyev,20.0,185.0,76.0,RUS,0
4688,Anwar Mohamed Ali,25.0,170.0,58.0,YEM,0
5316,Arvid Folke Alnevik (Andersson-),28.0,182.0,70.0,SWE,0
6031,Solomon Amegatcher,21.0,180.0,70.0,GHA,0
6126,Mohamed Amir,22.0,168.0,64.0,MDV,0
6127,Mohamed Amir,26.0,168.0,64.0,MDV,0
6323,Abdul Karim Ohimai Amu,23.0,185.0,77.0,NGR,0
6325,Abdul Karim Ohimai Amu,26.0,185.0,77.0,NGR,0
7250,Daniel Andr,18.0,178.0,70.0,MRI,0
7259,"Georges Ivan ""Go"" Andr (Monnard-)",30.0,188.0,85.0,FRA,0
7503,Frdrique Andrianaivo,24.0,176.0,71.0,MAD,0
8419,John A. Anzrah,29.0,176.0,70.0,KEN,0
8504,Jaime Aparicio Rodewalt ,18.0,170.0,63.0,COL,0
8506,Jaime Aparicio Rodewalt ,27.0,170.0,63.0,COL,0
9082,"Johan Kellgren ""Kell"" Areskough",25.0,175.0,65.0,SWE,0
9266,Vadim Arkhipchuk,27.0,182.0,75.0,URS,0
9402,Gary Armstrong,20.0,181.0,65.0,GBR,0
9534,Marcel Arnold,22.0,183.0,78.0,SUI,0
10027,John Asare-Antwi,24.0,177.0,65.0,GHA,0
10034,Charles Asati,26.0,178.0,68.0,KEN,0
10234,Victor Asirvatham,28.0,168.0,60.0,MAS,0
10400,Jos Nicols Astacio,21.0,166.0,49.0,ESA,0
10671,John Cox Atlee,25.0,180.0,66.0,USA,0
10714,Alessandro Attene,23.0,183.0,75.0,ITA,0
10744,James A. Atuti,30.0,188.0,80.0,KEN,0
11268,Nduka Awazie,19.0,172.0,74.0,NGR,0
11472,Silver Ayoo,21.0,188.0,72.0,UGA,0
11473,Silver Ayoo,29.0,188.0,72.0,UGA,0
11488,Sanjay Claude Ayre,28.0,188.0,84.0,JAM,0
11818,Alonzo Carl Babers,22.0,188.0,70.0,USA,Gold
11882,Subul Babo,26.0,175.0,65.0,PNG,0
11884,Subul Babo,30.0,175.0,65.0,PNG,0
12099,Rolf Erik Vilhelm Back,24.0,185.0,69.0,FIN,0
12165,"Charles James Bacon, Jr.",21.0,183.0,77.0,USA,0
12216,Sunday Bada,23.0,188.0,79.0,NGR,0
12218,Sunday Bada,27.0,188.0,79.0,NGR,0
12220,Sunday Bada,31.0,188.0,79.0,NGR,0
12260,Andrzej Stanisaw Badeski,21.0,173.0,68.0,POL,Bronze
12262,Andrzej Stanisaw Badeski,25.0,173.0,68.0,POL,0
12264,Andrzej Stanisaw Badeski,29.0,173.0,68.0,POL,0
12747,"Andretti ""Dretti"" Bain",22.0,175.0,65.0,BAH,0
12873,Salaheddine Bakar Al-Safi,20.0,185.0,68.0,QAT,0
13090,Jan Balachowski,19.0,183.0,76.0,POL,0
13310,Sean Michael Baldock,23.0,173.0,73.0,GBR,0
13405,"James Allan ""Jimmy"" Ball",25.0,180.0,69.0,CAN,Silver
13407,"James Allan ""Jimmy"" Ball",29.0,180.0,69.0,CAN,0
13628,tefan Balok,23.0,181.0,72.0,SVK,0
13629,tefan Balok,27.0,181.0,72.0,SVK,0
13792,Lewis Simon Banda,21.0,170.0,65.0,ZIM,0
13793,Lewis Simon Banda,25.0,170.0,65.0,ZIM,0
13881,Ferenc Bnhalmi,25.0,172.0,64.0,HUN,0
13882,Ferenc Bnhalmi,29.0,172.0,64.0,HUN,0
14453,"Raymond James ""Ray"" Barbuti",22.0,183.0,82.0,USA,Gold
14716,Daundre Barnaby,21.0,189.0,75.0,CAN,0
15510,John Lavers Bartram,23.0,173.0,68.0,AUS,0
15943,Daniel Batman,19.0,171.0,71.0,AUS,0
16264,"James Steven ""Jamie"" Baulch (Mills-)",27.0,173.0,71.0,GBR,0
